id,title,description,image
1,Andromeda,A brave princess chained to the stars — find her before the cosmic sea monster does.,https://star-name-registry.com/modules/starconstpg/views/img/new/andromeda-cons-m.jpg
2,Antlia,The mysterious air pump floats silently in deep space — relic of forgotten cosmic machines.,https://lh4.googleusercontent.com/proxy/_2mpBcEdZEqzvPlqSBDiHD4emrMUMGfeep0JsS4Z72fxgFbWjAgZgAVLn8gl1YigbjCAuZ-CszZlA4IgBtuvMkJ3ThDj9oduCHfGwsfSbfY
3,Apus,A celestial bird soaring endlessly through the southern skies — can you spot its flight path?,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ7e9vu6zTn_lDcU5eHsn-PKScBTvOEDpg6gQ&s
4,Aquarius,The cosmic water bearer pours streams of stardust across the universe.,https://star-name-registry.com/modules/starconstpg/views/img/new/aquarius-cons-m.jpg
5,Aquila,A powerful eagle flying across the Milky Way — its wings guard ancient secrets.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW8caiuIVKjBaWVioJT2WsyUA-kEzfWGqq4g&s
6,Ara,An ancient altar where the gods once watched over the cosmos.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTsdc9iIQnoFF42I3DJgEIlgmFx1zyC65ErA&s
7,Aries,The fearless ram charges headfirst into the darkness of space.,https://earthsky.org/upl/2021/11/Aries-the-Ram-constellation-e1636621824298.jpg
8,Auriga,The cosmic charioteer races across the stars with unmatched speed.,https://www.star-registration.com/cdn/shop/articles/20_Fuhrmann_1200x1200.jpg?v=1680678306
9,Bootes,The great celestial guardian watches silently over the northern skies.,
10,Caelum,"A celestial sculptor’s chisel, carving stories into the fabric of space.",
11,Camelopardalis,A cosmic giraffe stretching across the infinite darkness.,
12,Cancer,"The cosmic crab moves sideways through the galaxy, hiding secrets.",
13,Canes Venatici,The hunter’s loyal dogs chase cosmic prey across the stars.,
14,Canis Major,Home of Sirius — the brightest star guiding space explorers.,
15,Canis Minor,A small but loyal cosmic companion glowing in the void.,
16,Capricornus,The sea goat climbs from cosmic oceans into starry heights.,
17,Carina,The keel of a great cosmic ship drifting through deep space.,
18,Cassiopeia,The proud queen sits upon her throne in the sky.,
19,Centaurus,A mighty centaur warrior guarding southern skies.,
20,Cepheus,A wise king whose stars guide cosmic travelers.,
21,Cetus,A massive sea monster lurking in the cosmic ocean.,
22,Chamaeleon,A cosmic shape-shifter blending into the darkness.,
23,Circinus,A celestial compass drawing perfect circles in space.,
24,Columba,A peaceful cosmic dove flying between galaxies.,
25,Coma Berenices,The flowing hair of a queen turned into starlight.,
26,Corona Australis,A glowing crown hidden deep in southern space.,
27,Corona Borealis,The northern crown worn by celestial royalty.,
28,Corvus,A clever cosmic raven watching silently.,
29,Crater,A sacred cosmic cup filled with ancient starlight.,
30,Crux,The legendary Southern Cross guiding lost explorers.,
31,Cygnus,The graceful swan gliding across the Milky Way.,
32,Delphinus,A friendly cosmic dolphin leaping through stars.,
33,Dorado,A golden cosmic fish shimmering in deep space.,
34,Draco,A massive dragon winding between constellations.,
35,Equuleus,A small celestial horse racing across the sky.,
36,Eridanus,A cosmic river flowing endlessly across the universe.,
37,Fornax,A furnace burning with ancient cosmic fire.,
38,Gemini,The immortal twins standing side by side forever.,
39,Grus,A cosmic crane soaring gracefully.,
40,Hercules,The strongest hero ever written in the stars.,
41,Horologium,A cosmic clock ticking since the birth of the universe.,
42,Hydra,The largest cosmic serpent stretching across the heavens.,
43,Hydrus,A smaller but swift cosmic water snake.,
44,Indus,A mysterious cosmic traveler from ancient worlds.,
45,Lacerta,A stealthy cosmic lizard hiding in plain sight.,
46,Leo,The fearless lion roaring across the galaxy.,
47,Leo Minor,A smaller lion cub following its celestial king.,
48,Lepus,A cosmic hare racing beneath Orion’s feet.,
49,Libra,The cosmic scales balancing light and darkness.,
50,Lupus,A fierce wolf prowling silently through the night sky.,
51,Lynx,A faint cosmic hunter only visible to sharp eyes.,
52,Lyra,A celestial harp playing music across the stars.,
53,Mensa,A cosmic table beneath the southern skies.,
54,Microscopium,A cosmic microscope revealing hidden star secrets.,
55,Monoceros,A magical unicorn wandering through the Milky Way.,
56,Musca,A tiny cosmic fly buzzing through space.,
57,Norma,A precise cosmic tool measuring the universe.,
58,Octans,Home of the southern pole star guiding explorers.,
59,Ophiuchus,The legendary serpent bearer mastering cosmic forces.,
60,Orion,The greatest hunter standing fearless among stars.,
61,Pavo,A majestic cosmic peacock displaying its feathers.,
62,Pegasus,The legendary winged horse soaring endlessly.,
63,Perseus,The brave hero frozen forever in victory.,
64,Phoenix,A cosmic firebird reborn from starlight.,
65,Pictor,A cosmic painter creating galaxies.,
66,Pisces,Two cosmic fish swimming through infinity.,
67,Piscis Austrinus,A southern cosmic fish glowing brightly.,
68,Puppis,A cosmic ship sailing star oceans.,
69,Pyxis,A cosmic compass guiding lost explorers.,
70,Reticulum,A cosmic net capturing starlight.,
71,Sagitta,A cosmic arrow flying forever.,
72,Sagittarius,The legendary archer aiming at the galaxy center.,
73,Scorpius,A deadly cosmic scorpion guarding ancient secrets.,
74,Sculptor,A cosmic artist shaping the universe.,
75,Scutum,A cosmic shield protecting the heavens.,
76,Serpens,A cosmic serpent split between two worlds.,
77,Sextans,A cosmic measuring tool for star distances.,
78,Taurus,A powerful bull charging through space.,
79,Telescopium,A cosmic telescope watching distant galaxies.,
80,Triangulum,A glowing cosmic triangle hiding galaxies.,
81,Triangulum Australe,A southern triangle shining brightly.,
82,Tucana,A tropical cosmic bird flying far south.,
83,Ursa Major,The legendary Great Bear guiding explorers.,
84,Ursa Minor,"Home of Polaris, the North Star.",
85,Vela,The cosmic ship sails across endless space.,
86,Virgo,The cosmic maiden guarding galaxy clusters.,
87,Volans,A flying cosmic fish gliding through stars.,
88,Vulpecula,A clever cosmic fox hiding in the Milky Way.,
